Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Antigua and Barbuda,ATG,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31404286729858E+01,6.59050965169974E+01,6.48788935169649E+01,6.21727765034393E+01,6.91473930931579E+01,7.11215078898631E+01,7.45932312830870E+01,7.64350720322647E+01,7.82143050210990E+01,8.29248789444848E+01,8.01994779743070E+01,
Argentina,ARG,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17825191732143E+01,2.29007241024629E+01,2.55190289989448E+01,2.86664305305834E+01,3.31415714247415E+01,3.71246243024344E+01,4.22213877878032E+01,4.79140423472761E+01,5.13724880813841E+01,5.67540179214298E+01,5.94499544112055E+01,
Armenia,ARM,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02904894922780E+00,4.92659167856831E+00,7.62778790091104E+00,1.43214270011487E+01,2.28201449786793E+01,2.98050689638829E+01,3.34955610853277E+01,4.27717104053055E+01,4.94709985656138E+01,5.28677711748061E+01,5.82658291286297E+01,
Aruba,ABW,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10971370743749E+02,1.19570518857473E+02,1.24153226778525E+02,1.17917505389664E+02,
Australia,AUS,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33770739460646E+02,1.43423829917883E+02,1.47828897903130E+02,1.52876951656083E+02,1.49373051484193E+02,1.54331568546986E+02,1.61068796566121E+02,1.66474337410472E+02,1.65621737612417E+02,1.60994903500197E+02,1.60752045273901E+02,
Austria,AUT,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16262856896513E+02,1.06859333849301E+02,1.08340360820022E+02,1.08599879164375E+02,1.10156336061874E+02,1.12363304416577E+02,1.12965437452560E+02,1.13915600697844E+02,1.15825614779441E+02,1.17598017268499E+02,1.19438974371690E+02,
Azerbaijan,AZE,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70019162358337E+01,2.02857637468730E+01,2.26477660560646E+01,2.46250562455524E+01,2.70301510707732E+01,2.99539814517316E+01,3.12681257650186E+01,3.30641918416968E+01,3.51436607744668E+01,
Bahrain,BHR,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24928003272672E-01,1.95655516212852E-01,3.43969873407621E-01,4.97170889942895E-01,8.19794643294689E-01,1.24999174970794E+00,2.05377276434278E+00,3.60616765992048E+00,5.69556503935519E+00,6.18054312478299E+00,9.23686223432021E+00,
Barbados,BRB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05825762194979E+01,3.21392026166078E+01,3.68137286739690E+01,3.69679194039973E+01,3.66878391018446E+01,3.24747986644079E+01,3.61766133823900E+01,3.68113569532323E+01,4.26044670138142E+01,
