Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
American Samoa,ASM,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80000000000000E+00,2.90000000000000E+00,2.90000000000000E+00,2.30000000000000E+00,2.70000000000000E+00,2.50000000000000E+00,2.40000000000000E+00,1.80000000000000E+00,1.80000000000000E+00,2.40000000000000E+00,1.80000000000000E+00,3.30000000000000E+00
Antigua and Barbuda,ATG,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Argentina,ARG,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01000000000000E+01,2.21000000000000E+01,2.54000000000000E+01,2.55000000000000E+01,3.12000000000000E+01,3.43000000000000E+01,3.08000000000000E+01,3.59000000000000E+01,3.70000000000000E+01,4.19000000000000E+01,4.12000000000000E+01,4.26000000000000E+01
Armenia,ARM,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000E+00,2.60000000000000E+00,1.50000000000000E+00,2.80000000000000E+00,2.60000000000000E+00,4.40000000000000E+00,1.69000000000000E+01,2.37000000000000E+01,2.05000000000000E+01,2.19000000000000E+01,2.35000000000000E+01,0.00000000000000E+00
Aruba,ABW,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Austria,AUT,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10000000000000E+00,1.20000000000000E+00,1.20000000000000E+00,1.30000000000000E+00,1.30000000000000E+00,1.40000000000000E+00,1.40000000000000E+00,1.70000000000000E+00,1.80000000000000E+00,1.70000000000000E+00,2.00000000000000E+00,2.20000000000000E+00
Azerbaijan,AZE,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000E+00,4.00000000000000E-01,1.10000000000000E+00,1.40000000000000E+00,3.10000000000000E+00,6.90000000000000E+00,7.00000000000000E+00,1.56000000000000E+01,1.77000000000000E+01,2.30000000000000E+01,2.87000000000000E+01,3.36000000000000E+01
Bahrain,BHR,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
